[OK] collected=42 -> data/comments.csv (dedup)
[1] 2026-01-25T09:25:55+00:00 | - | [#9e9v] うーん、デカすぎる 2026-01-25 (日) 18:25:55 [ID:m-92z6-6f28-aidi]
[2] 2026-01-25T09:32:19+00:00 | - | [#96ks] 重力特化じゃない構成で、星砕きと滅びの流星が近いタイミングで手に入った場合どちらを使い続けますか？ 2026-01-25 (日) 18:32:1
[3] 2026-01-25T09:47:45+00:00 | - | [#31xu] DPSはほぼ同格で、FP効率は星砕きのほうが圧倒的に良い。 さらに星砕きはレア度も高いので、基本的には星砕きでいいかなと思う。 ただ、星砕きは蘇
[4] 2026-01-25T12:32:10+00:00 | - | [#5nli] 復讐者とかもだけど詠唱速度上昇を頑なに拾わない奴は何なの？ 2026-01-25 (日) 21:32:10 [ID:m-33b6-ea39-3t
[5] 2026-01-25T13:37:08+00:00 | - | [#1kt1] 結晶とかの詠唱長い系と連射系以外恩恵少ないからね 結晶特化カーリア特化不可視特化とか、あとはつぶて系の上位がランダム枠で引けてるなら火力面でも隙
[6] 2026-01-25T13:56:52+00:00 | - | [#3drb] 隠者使おうと思ってるんだけど、隠者使うのやめとけみたいな相性が悪い夜の王いる？ 2026-01-25 (日) 22:56:52 [ID:m-6z
[7] 2026-01-25T14:04:40+00:00 | - | [#38x4] カリゴは大分魔術耐性あるから結晶ナーフされた今となってはあんまり適正ないかなってくらい グラディウスもミケラ狙いのハルハル型のほうが大分楽 20
[8] 2026-01-25T15:16:34+00:00 | - | [#47sa] 個人的に安寧者はやりにくい。どうしても詠唱無防備になるから味方の人数以上の相手は骨が折れる。 2026-01-26 (月) 00:16:34 [
[9] 2026-01-25T15:17:13+00:00 | - | [#8egw] 混成で大技止めるの覚えたら基本何でもいけるけど、通常カリゴはキツめかな。結晶拾えなかったときにアーツ係になる 2026-01-26 (月) 00
[10] 2026-01-25T16:01:25+00:00 | - | [#bxpb] どっちかと言うと仲間との相性の方が気になる 鉄の目がいるとマーキング壊せてシナジーがある 鉄なし前衛1枚、あるいは2隠者はそっと他のキャラにかえ
[11] 2026-01-26T02:12:51+00:00 | - | [#c6at] いないな..。ただボスごとに有効な術が若干変わるかも。 夜王にメインでいく魔法は事前に決めて、道中はそれをひけるように 立ち回ったほうがいいかも
[12] 2026-01-26T02:36:37+00:00 | - | [#dmnt] 張り付いた方が安全なボスは隠者じゃない方が楽かなカリゴ瓦礫とか 後は正直チームの構成次第て感じする。前衛無しで自分が1番火力出る構成だとタゲ引き
[13] 2026-01-26T02:41:09+00:00 | - | [#7giu] ボス不明だったらとりあえず隠者使おうかなって思うくらいには何でも行ける 2026-01-26 (月) 11:41:09 [ID:m-5eyv-f
[14] 2026-01-26T06:46:58+00:00 | - | [#aa4f] 常世マリスもスタミナがキツい 2026-01-26 (月) 15:46:58 [ID:m-3n7n-bcfd-9mbk]
[15] 2026-01-25T14:23:04+00:00 | - | [#6o5j] サイスぶんぶんマンにとってあんたは神だ 2026-01-25 (日) 23:23:04 [ID:m-9f8v-8a58-6uy6]
[16] 2026-01-25T17:25:26+00:00 | - | [#ewq7] 滅びがかなりアーツ溜まるように見えるけど、一番アーツの蓄積効率がいい魔術ってなんなんだろうな ハルハル達にFPを供給していきたい 2026-01
[17] 2026-01-26T01:54:16+00:00 | - | [#6url] 前に色々試したことあるけど一発辺りの蓄積量はハイマ砲丸とローレッタ絶技がすごいよ アーツゲージ蓄積と蘇生ゲージ削りはわりと相関があるから、蘇生力
[18] 2026-01-25T17:30:13+00:00 | - | [#1yi6] 今更使ってみようと思うんだがジャーナルすら何もしてない 骨くらいは取っといた方がいいよね？ 2026-01-26 (月) 02:30:13 [I
